0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
8063,861,707,2081,2,17,13,130,26,22,0,2,4,17,135,60,125,14,0,0,0,0,0,5,7,0,0,0,0,0,1,1,8,4,27,37,16,7
329,9064,427,1126,2,11,7,83,20,9,0,6,6,43,139,52,117,11,0,0,0,1,0,2,2,1,1,1,0,0,2,2,9,3,11,25,20,15
492,567,9133,1676,6,7,9,80,23,21,1,6,5,34,175,43,115,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,4,1,8,27,18,15
775,987,714,17265,2,13,12,135,35,17,0,9,10,35,205,70,163,14,0,0,0,3,0,2,0,2,1,1,1,0,0,3,19,7,20,62,16,14
3,40,31,101,5536,412,31,1426,138,483,3,1,0,13,62,19,51,1,0,0,0,3,0,1,0,1,0,0,1,1,1,0,3,2,32,41,23,13
3,27,12,38,95,3444,18,474,37,48,0,0,1,2,37,18,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,27,18,12
12,20,25,104,124,106,5912,1593,378,114,6,0,7,7,43,11,56,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,31,7,3,61,6,14
21,38,38,199,1082,423,284,15312,820,600,24,1,3,30,124,46,106,1,0,0,0,1,0,1,2,1,5,0,2,0,2,5,35,5,27,92,27,48
8,18,12,96,92,40,143,878,6716,135,7,1,5,5,36,11,52,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,33,6,7,42,9,17
3,15,8,29,106,29,10,491,27,3776,17,0,1,4,27,4,27,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,4,0,5,25,5,13
0,0,0,4,15,4,16,75,10,74,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
6,28,10,46,1,6,5,42,6,2,0,2065,142,34,760,91,170,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,11,2,18
10,13,5,47,0,10,5,22,12,3,0,209,1610,31,971,190,251,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,20,2,12
10,16,42,120,4,0,3,48,8,10,0,66,35,4083,3274,383,1089,112,0,0,2,0,0,7,1,1,5,0,0,0,0,0,2,0,6,15,6,10
42,86,71,268,1,5,8,183,39,35,0,233,235,606,19357,695,1974,997,2,2,0,7,0,0,7,0,0,0,0,1,1,1,39,10,34,78,35,22
25,21,28,123,5,3,2,36,5,10,0,88,65,228,3240,5959,578,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,11,29,24,8
37,103,52,210,4,1,9,84,18,9,0,116,125,321,3358,329,9418,243,0,0,1,1,0,1,1,0,1,0,0,0,0,0,20,1,22,56,18,6
22,40,20,75,2,0,2,13,4,5,0,43,37,37,1327,123,381,2990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,1,28,2,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9808,897,350,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,7334,454,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842,1476,7806,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5187,18,35,785,16,149,72,7,20,15,18,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,2545,41,278,8,44,3,4,3,6,15,0,0,0,0,0,0
0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,32,30,6075,208,33,42,9,18,3,4,27,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,594,103,142,14371,262,613,97,43,17,29,95,4,0,0,7,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,22,129,1224,4044,843,5,18,9,10,49,1,0,2,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,31,22,736,140,5146,15,14,5,5,13,0,0,4,1,0,0
0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,561,7,15,719,14,74,2641,13,24,3,42,1,0,0,0,0,0
0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6,51,239,15,32,5,3912,243,41,1519,0,0,0,0,0,0
