0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
463,447,461,781,296,155,293,748,308,159,17,125,112,358,1047,431,545,176,394,380,421,253,110,242,631,258,241,170,215,257,224,316,194,175,157,480,200,139
428,371,419,801,298,135,286,698,296,166,12,113,89,327,957,372,492,169,382,353,404,241,101,234,630,218,211,148,229,243,222,336,170,161,169,462,194,154
453,459,461,828,299,164,319,788,307,161,16,101,122,341,1055,420,479,158,387,375,428,252,109,252,607,280,235,148,249,253,239,374,183,156,170,494,164,186
769,704,803,1373,527,250,526,1235,517,273,30,169,199,558,1735,655,888,297,757,627,756,361,203,405,1108,420,424,236,389,418,367,590,291,335,292,784,286,290
331,286,311,564,243,93,207,496,222,116,13,78,66,229,731,299,342,133,293,249,297,174,80,162,457,186,172,105,130,184,153,250,102,138,124,324,131,118
177,162,157,279,116,57,108,275,100,52,8,36,33,122,392,131,213,68,135,123,158,86,47,81,233,73,86,40,79,78,77,136,48,56,62,141,65,53
303,280,304,540,206,123,244,515,226,109,10,89,79,238,696,283,391,111,290,254,288,157,73,163,424,158,165,103,134,180,163,254,132,99,118,304,138,99
657,666,740,1203,471,259,527,1196,464,245,23,173,180,494,1570,586,804,252,698,613,648,398,154,365,1014,386,367,234,358,350,350,560,299,271,283,748,274,276
299,282,318,519,200,108,240,559,210,118,6,85,64,221,721,279,312,117,300,241,227,161,74,163,433,165,158,97,157,158,179,247,119,136,101,346,106,124
180,149,179,305,117,57,122,308,111,56,4,46,41,139,421,169,193,76,167,125,188,85,37,97,249,81,103,52,100,84,97,134,55,70,55,151,58,63
11,14,14,42,11,2,15,30,9,8,0,2,5,7,44,13,20,11,18,15,16,10,5,11,31,8,15,6,10,3,4,14,9,5,6,20,6,2
112,128,127,205,80,42,84,223,74,40,4,26,25,98,278,111,145,39,105,95,108,66,33,76,190,50,68,43,59,69,73,102,52,52,54,138,48,40
108,137,141,216,81,41,75,216,84,49,4,33,24,97,312,125,150,54,108,118,121,47,31,77,172,63,71,33,66,81,71,91,47,54,66,157,50,42
332,328,361,578,227,121,224,586,254,142,8,92,94,232,826,298,385,126,309,271,333,166,73,193,487,179,180,119,169,208,163,295,143,125,136,359,131,117
922,834,923,1666,607,344,656,1556,624,353,29,248,219,715,2171,790,999,322,883,763,858,486,233,486,1243,486,476,337,488,493,493,730,348,366,343,922,352,327
377,349,423,695,260,131,265,640,258,140,12,109,95,299,915,322,473,161,328,308,352,197,114,208,508,193,220,133,214,215,199,277,157,151,158,401,141,132
532,556,512,1000,375,206,395,906,352,185,18,159,138,399,1305,483,638,206,481,413,497,246,116,284,738,263,281,168,245,295,253,410,204,200,218,513,214,177
